16101126001,66.45
16101126002,67.51
16101126003,67.77
16101126004,71.15
16101126005,71.24
16101126006,70.7
16101126007,73.38
16101126008,78.04
16101126009,67.15
16101126010,61.61
16101126011,71.55
16101126012,62.87
16101126013,77.34
16101126014,78.06
16101126015,69.99
16101126016,67.24
16101126017,73.9
16101126018,75.75
16101126019,65.28
16101126020,66.54
16101126021,69.59
16101126023,77.01
16101126024,70.19
16101126025,76.52
16101126026,70.85
16101126027,51.03
16101126028,64.62
16101126029,72.37
16101126030,77.34
16101126031,70.91
16101126032,72.66
16101126033,71.4
16101126034,72.02
16101126035,61.58
16101126036,71.28
16101126037,70.04
16101126038,69.61
16101126039,74.8
16101126040,65.4
16101126041,72.91
16101126043,66.62
16101126044,74.52
16101126045,64.49
16101126046,77.46
16101126047,67.75
16101126049,73.92
16101126050,74.16
16101126051,70.89
16101126052,74.16
16101126053,65.94
16101126054,70.52
16101126055,80.76
16101126056,70.64
16101126057,74.87
16101126058,76.62
16101126059,67.24
16101126060,80.47
16101126061,76.93
16101126062,61.65
17101126901,69.51
17101126903,76.68
17101126904,64.46
17101126905,80.25
17101126906,59.87
17101126907,81.38
17101126908,69.11
17101126909,76.98
17101126910,61.57
